tweets,label
#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :),1
@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!,1
@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!,1
@97sides CONGRATS :),1
yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days,1
"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM",1
We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI,1
"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying.",1
"Jgh , but we have to go to Bayan :D bye",1
"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p.",1
#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :),1
Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY,1
@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),1
"@jjulieredburn Perfect, so you already know what's waiting for you :)",1
Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0,1
Laying out a greetings card range for print today - love my job :-),1
"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU.",1
@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,1
@oohdawg_ Hi liv :)),1
Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7,1
#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :),1
"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)",1
@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :)),1
